open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1682942400000,28524.50261905,28524.50261905,28455.29785714,28482.29547619,0,1682942699999,0,300,0,0,0
1682942700000,28482.24785714,28489.75476190,28475.09928571,28479.99380952,0,1682942999999,0,300,0,0,0
1682943000000,28479.98833333,28538.56976190,28479.95095238,28527.41214286,0,1682943299999,0,300,0,0,0
1682943300000,28527.41214286,28542.46880952,28510.33833333,28510.34619048,0,1682943599999,0,300,0,0,0
1682943600000,28510.33904762,28544.14000000,28510.33904762,28536.54119048,0,1682943899999,0,300,0,0,0
1682943900000,28536.46023810,28576.61809524,28531.55285714,28572.83333333,0,1682944199999,0,300,0,0,0
1682944200000,28572.83333333,28573.90571429,28553.41119048,28553.41119048,0,1682944499999,0,300,0,0,0
1682944500000,28553.40642857,28598.67785714,28552.94142857,28598.67785714,0,1682944799999,0,300,0,0,0
1682944800000,28598.68261905,28605.13166667,28589.40380952,28589.40380952,0,1682945099999,0,300,0,0,0
1682945100000,28589.41809524,28596.61952381,28575.27690476,28575.90809524,0,1682945399999,0,300,0,0,0
1682945400000,28575.90809524,28604.54404762,28575.19523810,28603.08571429,0,1682945699999,0,300,0,0,0
1682945700000,28603.10476190,28608.76928571,28587.99000000,28596.82119048,0,1682945999999,0,300,0,0,0
1682946000000,28596.82119048,28596.82119048,28578.83095238,28579.66238095,0,1682946299999,0,300,0,0,0
1682946300000,28579.66238095,28587.07214286,28572.01333333,28573.88190476,0,1682946599999,0,300,0,0,0
1682946600000,28573.75500000,28581.34738095,28570.37523810,28575.57333333,0,1682946899999,0,300,0,0,0
1682946900000,28575.56523810,28575.56523810,28553.77857143,28574.72738095,0,1682947199999,0,300,0,0,0
1682947200000,28574.72738095,28592.47642857,28570.86738095,28592.46285714,0,1682947499999,0,300,0,0,0
1682947500000,28592.46523810,28610.86047619,28589.78809524,28603.42880952,0,1682947799999,0,300,0,0,0
1682947800000,28603.43357143,28626.02285714,28568.88119048,28570.16952381,0,1682948099999,0,300,0,0,0
1682948100000,28570.16952381,28573.73190476,28532.19095238,28565.97571429,0,1682948399999,0,300,0,0,0
1682948400000,28566.48285714,28567.64476190,28504.11190476,28526.43190476,0,1682948699999,0,300,0,0,0
1682948700000,28526.43595238,28536.87309524,28501.04547619,28516.04357143,0,1682948999999,0,300,0,0,0
1682949000000,28516.22476190,28520.67071429,28479.41023810,28505.70357143,0,1682949299999,0,300,0,0,0
1682949300000,28506.43285714,28512.37333333,28447.16642857,28458.26833333,0,1682949599999,0,300,0,0,0
1682949600000,28458.26833333,28493.43333333,28332.39952381,28453.20880952,0,1682949899999,0,300,0,0,0
1682949900000,28449.09619048,28537.64261905,28449.01190476,28516.02095238,0,1682950199999,0,300,0,0,0
1682950200000,28517.09476190,28535.45380952,28494.64047619,28496.36261905,0,1682950499999,0,300,0,0,0
1682950500000,28496.27690476,28572.21928571,28490.02547619,28526.08023810,0,1682950799999,0,300,0,0,0
1682950800000,28526.08023810,28526.08023810,28424.45190476,28456.49857143,0,1682951099999,0,300,0,0,0
1682951100000,28457.05571429,28512.83261905,28441.28547619,28483.84452381,0,1682951399999,0,300,0,0,0
1682951400000,28484.57785714,28522.30738095,28468.41619048,28487.91285714,0,1682951699999,0,300,0,0,0
1682951700000,28487.90809524,28488.56857143,28432.04190476,28436.89785714,0,1682951999999,0,300,0,0,0
1682952000000,28435.54238095,28457.28190476,28420.69452381,28441.28666667,0,1682952299999,0,300,0,0,0
1682952300000,28441.28904762,28485.39357143,28441.28904762,28470.83285714,0,1682952599999,0,300,0,0,0
1682952600000,28471.15071429,28483.99619048,28463.62047619,28474.17309524,0,1682952899999,0,300,0,0,0
1682952900000,28474.16666667,28492.42000000,28454.68880952,28472.16571429,0,1682953199999,0,300,0,0,0
1682953200000,28472.16500000,28486.58714286,28393.33928571,28421.35095238,0,1682953499999,0,300,0,0,0
1682953500000,28421.37547619,28447.80880952,28399.43904762,28414.26785714,0,1682953799999,0,300,0,0,0
1682953800000,28414.21738095,28414.21738095,28358.09904762,28383.22714286,0,1682954099999,0,300,0,0,0
1682954100000,28383.22238095,28389.81452381,28292.59190476,28365.60380952,0,1682954399999,0,300,0,0,0
1682954400000,28365.53000000,28365.53404762,28119.25880952,28135.96238095,0,1682954699999,0,300,0,0,0
1682954700000,28146.13642857,28217.04476190,28096.87547619,28108.55523810,0,1682954999999,0,300,0,0,0
1682955000000,28111.73357143,28173.20190476,28096.14976190,28137.19214286,0,1682955299999,0,300,0,0,0
1682955300000,28134.93333333,28188.44666667,28121.04642857,28126.88071429,0,1682955599999,0,300,0,0,0
1682955600000,28126.60928571,28135.35619048,28084.12690476,28110.96523810,0,1682955899999,0,300,0,0,0
1682955900000,28110.66523810,28201.05428571,28110.66523810,28179.60904762,0,1682956199999,0,300,0,0,0
1682956200000,28179.60595238,28211.48190476,28156.04333333,28197.29785714,0,1682956499999,0,300,0,0,0
1682956500000,28197.06214286,28213.13785714,28156.03142857,28171.14928571,0,1682956799999,0,300,0,0,0
1682956800000,28171.22547619,28253.37833333,28164.42404762,28247.27261905,0,1682957099999,0,300,0,0,0
1682957100000,28247.21476190,28265.19595238,28173.54690476,28179.15880952,0,1682957399999,0,300,0,0,0
1682957400000,28179.16119048,28200.00595238,28106.69404762,28145.16119048,0,1682957699999,0,300,0,0,0
1682957700000,28141.89214286,28185.47023810,28106.13976190,28183.49428571,0,1682957999999,0,300,0,0,0
1682958000000,28181.58714286,28189.70166667,28083.85380952,28104.27547619,0,1682958299999,0,300,0,0,0
1682958300000,28106.60285714,28149.48190476,28023.59547619,28118.67380952,0,1682958599999,0,300,0,0,0
1682958600000,28118.87380952,28207.33071429,28118.87380952,28206.26666667,0,1682958899999,0,300,0,0,0
1682958900000,28206.26357143,28212.48309524,28184.40119048,28199.67452381,0,1682959199999,0,300,0,0,0
1682959200000,28198.22500000,28232.54238095,28196.04047619,28219.73309524,0,1682959499999,0,300,0,0,0
1682959500000,28219.73547619,28246.65833333,28219.72119048,28243.85142857,0,1682959799999,0,300,0,0,0
1682959800000,28243.85142857,28306.46428571,28243.78214286,28291.37952381,0,1682960099999,0,300,0,0,0
1682960100000,28291.26285714,28386.82309524,28291.26285714,28357.78095238,0,1682960399999,0,300,0,0,0
1682960400000,28359.09928571,28384.01595238,28343.65976190,28383.23761905,0,1682960699999,0,300,0,0,0
1682960700000,28381.40547619,28406.75000000,28325.30452381,28328.17238095,0,1682960999999,0,300,0,0,0
1682961000000,28328.16619048,28349.22095238,28325.15357143,28338.06380952,0,1682961299999,0,300,0,0,0
